Sample_ID,y_true,y_predicted
File-loaded-ROI_group_1_demo-tiff_demo_1-xml_1-1,4,3.9
File-loaded-ROI_group_1_demo-tiff_demo_2-xml_2-2,3,1.9
File-loaded-ROI_group_1_demo-tiff_demo_2-xml_2-4,3,4.0
File-loaded-ROI_group_2_demo-tiff_demo_3-xml_3-1,2,1.5
File-loaded-ROI_group_2_demo-tiff_demo_3-xml_3-2,2,1.7
File-loaded-ROI_group_2_demo-tiff_demo_3-xml_3-4,2,1.7
File-loaded-ROI_group_2_demo-tiff_demo_4-xml_4-2,1,1.5
File-loaded-ROI_group_2_demo-tiff_demo_4-xml_4-5,1,1.5
File-loaded-ROI_group_2_demo-tiff_demo_5-xml_5-1,0,1.3
File-loaded-ROI_group_2_demo-tiff_demo_5-xml_5-2,0,1.7
File-loaded-ROI_group_2_demo-tiff_demo_5-xml_5-3,0,1.7
File-loaded-ROI_group_2_demo-tiff_demo_5-xml_5-4,0,1.7
File-loaded-ROI_group_2_demo-tiff_demo_5-xml_5-5,0,1.4
File-loaded-ROI_group_1_demo-tiff_demo_1-xml_1-2,4,3.4
File-loaded-ROI_group_1_demo-tiff_demo_1-xml_1-3,4,3.2
File-loaded-ROI_group_1_demo-tiff_demo_1-xml_1-4,4,3.4
File-loaded-ROI_group_1_demo-tiff_demo_1-xml_1-5,4,3.4
File-loaded-ROI_group_1_demo-tiff_demo_2-xml_2-1,3,2.2
File-loaded-ROI_group_1_demo-tiff_demo_2-xml_2-3,3,2.3
File-loaded-ROI_group_1_demo-tiff_demo_2-xml_2-5,3,2.4
File-loaded-ROI_group_2_demo-tiff_demo_3-xml_3-3,2,1.7
File-loaded-ROI_group_2_demo-tiff_demo_3-xml_3-5,2,2.1
File-loaded-ROI_group_2_demo-tiff_demo_4-xml_4-1,1,1.8
File-loaded-ROI_group_2_demo-tiff_demo_4-xml_4-3,1,2.4
File-loaded-ROI_group_2_demo-tiff_demo_4-xml_4-4,1,1.5
